date,daily_first_dose,cumulative_first_dose,daily_second_dose,cumulative_second_dose,daily_booster,cumulative_booster,first_dose_percentage,second_dose_percentage,booster_percentage,Pfizer_daily,Pfizer_percentage,Moderna_daily,Moderna_percentage,AstraZeneca_daily,AstraZeneca_percentage,Janssen_daily,Janssen_percentage,Novavax_daily,Novavax_percentage
2024-04-04,6149243,6149243,0,0,0.0,0.0,12.06,0.0,0.0,2767159,45.0,1844772,30.0,922386,15.0,307462,5.0,307462,5.0
2024-04-05,79581,6228824,0,0,0.0,0.0,12.21,0.0,0.0,35811,45.0,23874,30.0,11937,15.0,3979,5.0,3979,5.0
2024-04-06,80435,6309259,0,0,0.0,0.0,12.37,0.0,0.0,36195,45.0,24130,30.0,12065,15.0,4021,5.0,4021,5.0
2024-04-07,81296,6390555,0,0,0.0,0.0,12.53,0.0,0.0,36583,45.0,24388,30.0,12194,15.0,4064,5.0,4064,5.0
2024-04-08,82160,6472715,0,0,0.0,0.0,12.69,0.0,0.0,36972,45.0,24648,30.0,12324,15.0,4108,5.0,4108,5.0
2024-04-09,83029,6555744,0,0,0.0,0.0,12.85,0.0,0.0,37363,45.0,24908,30.0,12454,15.0,4151,5.0,4151,5.0
2024-04-10,83903,6639647,0,0,0.0,0.0,13.02,0.0,0.0,37756,45.0,25170,30.0,12585,15.0,4195,5.0,4195,5.0
2024-04-11,84779,6724426,0,0,0.0,0.0,13.19,0.0,0.0,38150,45.0,25433,30.0,12716,15.0,4238,5.0,4238,5.0
2024-04-12,85662,6810088,0,0,0.0,0.0,13.35,0.0,0.0,38547,45.0,25698,30.0,12849,15.0,4283,5.0,4283,5.0
2024-04-13,86547,6896635,0,0,0.0,0.0,13.52,0.0,0.0,38946,45.0,25964,30.0,12982,15.0,4327,5.0,4327,5.0
2024-04-14,87437,6984072,0,0,0.0,0.0,13.69,0.0,0.0,39346,45.0,26231,30.0,13115,15.0,4371,5.0,4371,5.0
2024-04-15,88331,7072403,0,0,0.0,0.0,13.87,0.0,0.0,39748,45.0,26499,30.0,13249,15.0,4416,5.0,4416,5.0
2024-04-16,89228,7161631,0,0,0.0,0.0,14.04,0.0,0.0,40152,45.0,26768,30.0,13384,15.0,4461,5.0,4461,5.0
2024-04-17,90128,7251759,0,0,0.0,0.0,14.22,0.0,0.0,40557,45.0,27038,30.0,13519,15.0,4506,5.0,4506,5.0
2024-04-18,91032,7342791,0,0,0.0,0.0,14.4,0.0,0.0,40964,45.0,27309,30.0,13654,15.0,4551,5.0,4551,5.0
2024-04-19,91940,7434731,0,0,0.0,0.0,14.58,0.0,0.0,41373,45.0,27582,30.0,13791,15.0,4597,5.0,4597,5.0
2024-04-20,92851,7527582,0,0,0.0,0.0,14.76,0.0,0.0,41782,45.0,27855,30.0,13927,15.0,4642,5.0,4642,5.0
2024-04-21,93764,7621346,0,0,0.0,0.0,14.94,0.0,0.0,42193,45.0,28129,30.0,14064,15.0,4688,5.0,4688,5.0
2024-04-22,94680,7716026,0,0,0.0,0.0,15.13,0.0,0.0,42606,45.0,28404,30.0,14202,15.0,4734,5.0,4734,5.0
2024-04-23,95599,7811625,0,0,0.0,0.0,15.32,0.0,0.0,43019,45.0,28679,30.0,14339,15.0,4779,5.0,4779,5.0
2024-04-24,96521,7908146,0,0,0.0,0.0,15.51,0.0,0.0,43434,45.0,28956,30.0,14478,15.0,4826,5.0,4826,5.0
2024-04-25,97445,8005591,0,0,0.0,0.0,15.7,0.0,0.0,43850,45.0,29233,30.0,14616,15.0,4872,5.0,4872,5.0
2024-04-26,98371,8103962,0,0,0.0,0.0,15.89,0.0,0.0,44266,45.0,29511,30.0,14755,15.0,4918,5.0,4918,5.0
2024-04-27,99299,8203261,0,0,0.0,0.0,16.08,0.0,0.0,44684,45.0,29789,30.0,14894,15.0,4964,5.0,4964,5.0
2024-04-28,100229,8303490,0,0,0.0,0.0,16.28,0.0,0.0,45103,45.0,30068,30.0,15034,15.0,5011,5.0,5011,5.0
2024-04-29,101161,8404651,0,0,0.0,0.0,16.48,0.0,0.0,45522,45.0,30348,30.0,15174,15.0,5058,5.0,5058,5.0
2024-04-30,102095,8506746,0,0,0.0,0.0,16.68,0.0,0.0,45942,45.0,30628,30.0,15314,15.0,5104,5.0,5104,5.0
2024-05-01,103029,8609775,0,0,0.0,0.0,16.88,0.0,0.0,46363,45.0,30908,30.0,15454,15.0,5151,5.0,5151,5.0
2024-05-02,103965,8713740,6149243,6149243,0.0,0.0,17.09,12.06,0.0,2813943,45.0,1875962,30.0,937981,15.0,312660,5.0,312660,5.0
2024-05-03,104901,8818641,79581,6228824,0.0,0.0,17.29,12.21,0.0,83016,45.0,55344,30.0,27672,15.0,9224,5.0,9224,5.0
